Index,X...Class,Head,Neck_Label,PER,LOC,OBJ,TEM,NUM,Root_POS
235,DESC,What,aux,0,0,0,1,0,VBN
238,DESC,How,aux,0,1,0,0,0,NNP
239,DESC,What,ROOT,0,0,0,0,0,VBZ
242,DESC,What,auxpass,0,0,0,0,0,VBN
243,DESC,What,ROOT,1,0,0,0,0,VBZ
245,DESC,What,ROOT,0,0,0,0,0,VBZ
246,DESC,How,aux,0,0,0,0,0,VB
247,DESC,How,ROOT,0,1,0,0,0,MD
248,DESC,What,ROOT,0,1,0,0,0,VBZ
250,DESC,What,ROOT,0,0,0,0,0,VBZ
251,DESC,What,ROOT,1,0,0,0,0,VBZ
252,DESC,What,aux,1,0,0,0,0,VB
253,DESC,What,ROOT,0,0,0,0,0,VBZ
254,DESC,Why,auxpass,0,0,1,0,0,VBN
255,DESC,Why,ROOT,0,1,0,0,0,VBP
256,DESC,What,ROOT,0,1,0,0,0,VBP
258,DESC,Why,ROOT,1,1,0,0,0,VBD
260,DESC,What,ROOT,0,0,0,0,0,VBZ
262,DESC,Why,aux,0,0,0,1,0,VB
264,DESC,What,ROOT,0,0,0,1,0,VBZ
265,DESC,What,ROOT,0,1,0,0,0,VBZ
266,DESC,What,ROOT,0,1,0,0,0,VBD
268,DESC,What,ROOT,0,0,0,0,0,VBZ
270,DESC,How,aux,0,0,0,0,0,VB
271,DESC,What,ROOT,1,0,0,0,0,VBP
273,DESC,What,ROOT,0,0,1,0,0,VBZ
274,DESC,Where,aux,0,0,0,0,0,VBN
277,DESC,What,ROOT,0,0,0,0,0,VBZ
278,DESC,Why,np,0,0,0,0,0,VB
279,DESC,What,ROOT,0,0,0,0,0,VBZ
281,DESC,What,ROOT,0,0,0,0,0,VBZ
282,DESC,How,aux,0,0,0,0,0,VB
286,DESC,How,aux,0,1,0,0,0,VB
287,DESC,How,aux,0,0,0,0,0,VB
289,DESC,What,ROOT,0,0,0,0,0,VBZ
295,DESC,How,aux,0,0,0,0,0,VB
296,DESC,What,ROOT,0,0,0,0,0,VBZ
299,DESC,What,ROOT,0,1,0,0,0,NNP
300,DESC,What,ROOT,0,0,0,0,0,VBZ
301,DESC,What,ROOT,0,0,0,0,0,VBZ
302,DESC,Why,aux,1,0,0,0,0,VB
305,DESC,What,ROOT,0,0,0,0,0,VBZ
307,DESC,What,ROOT,0,1,0,0,0,VBD
309,DESC,What,ROOT,1,0,0,0,0,VBD
310,DESC,What,ROOT,0,1,0,0,0,VBP
313,DESC,How,aux,0,0,0,1,0,VBP
314,DESC,How,aux,0,1,0,0,0,VB
317,DESC,What,ROOT,0,0,0,0,0,VBZ
318,DESC,What,ROOT,0,0,0,0,1,VBD
320,DESC,What,ROOT,0,0,0,0,0,VBP
324,DESC,How,ROOT,0,1,1,0,0,VBZ
325,DESC,What,ROOT,1,0,0,0,0,VBP
327,DESC,What,aux,0,1,0,0,0,VB
330,DESC,What,ROOT,0,1,0,0,0,VBZ
334,DESC,How,aux,0,0,0,0,0,VB
335,DESC,Why,auxpass,0,0,0,0,0,VBD
337,DESC,What,ROOT,1,1,0,0,0,VBZ
339,DESC,What,ROOT,0,0,0,0,0,VBP
340,DESC,What,ROOT,0,0,0,0,0,VBZ
341,DESC,What,ROOT,0,0,0,0,0,VBZ
343,DESC,How,ROOT,0,0,0,0,0,VBP
348,DESC,What,ROOT,0,0,0,0,0,VBZ
349,DESC,What,ROOT,0,0,1,0,0,VBZ
351,DESC,What,ROOT,1,0,0,0,0,VBP
354,DESC,What,ROOT,1,0,0,0,0,VB
360,DESC,What,ROOT,0,0,0,0,0,VBZ
361,DESC,What,ROOT,0,0,0,0,0,VBZ
362,DESC,What,ROOT,0,0,0,0,0,VBZ
363,DESC,What,ROOT,0,0,0,0,0,VBZ
367,DESC,Why,ROOT,0,0,0,0,0,VBP
368,DESC,What,ROOT,0,0,0,0,0,VBZ
370,DESC,What,ROOT,1,0,1,0,0,VBP
371,DESC,Why,ROOT,0,1,0,0,0,VBP
373,DESC,What,ROOT,0,0,0,0,0,VBZ
374,DESC,What,aux,0,0,0,0,0,VB
379,DESC,What,ROOT,0,0,0,0,0,VBP
383,DESC,What,ROOT,0,0,0,0,0,VBZ
384,DESC,What,ROOT,0,0,1,0,0,VBD
386,DESC,How,aux,0,0,0,0,0,VB
388,DESC,What,ROOT,0,0,0,0,0,VBP
390,DESC,What,ROOT,0,0,0,0,0,VBZ
391,DESC,What,ROOT,0,0,0,0,0,VBZ
396,DESC,What,ROOT,0,0,0,0,0,VBZ
397,DESC,What,ROOT,1,1,0,0,0,VBZ
398,DESC,How,aux,0,0,0,0,0,VB
400,DESC,How,aux,0,0,0,0,0,VB
402,DESC,What,ROOT,0,0,0,0,0,VBZ
403,DESC,What,ROOT,0,0,0,0,0,VBZ
404,DESC,What,ROOT,0,1,0,0,0,VBZ
407,DESC,What,ROOT,0,0,0,0,0,VBZ
408,DESC,Why,aux,0,0,0,0,0,VB
410,DESC,Why,aux,1,0,0,0,0,VBD
413,DESC,What,aux,0,1,0,0,0,VB
416,DESC,How,ROOT,0,0,0,0,0,VBZ
417,DESC,Why,aux,0,0,0,0,0,VB
418,DESC,What,ROOT,1,0,0,0,0,VBZ
422,DESC,What,ROOT,0,0,0,0,0,VBZ
424,DESC,What,np,0,0,0,0,0,VB
428,DESC,What,ROOT,0,0,0,0,0,VBZ
431,DESC,Why,aux,0,0,0,0,0,VB
432,DESC,What,ROOT,1,0,0,0,1,VBD
435,DESC,What,ROOT,0,0,0,0,0,VBZ
436,DESC,How,aux,0,0,0,0,0,VB
437,DESC,What,ROOT,1,0,1,0,0,VBZ
438,DESC,What,ROOT,0,0,0,0,0,VBZ
439,DESC,What,ROOT,0,0,0,0,0,VBP
440,DESC,How,aux,0,0,0,0,0,VB
443,DESC,What,ROOT,0,0,0,0,0,VBZ
444,DESC,What,ROOT,0,0,0,0,0,VBP
445,DESC,What,auxpass,0,0,0,0,0,NNS
446,DESC,What,ROOT,1,0,0,0,0,VBZ
447,DESC,Why,aux,0,0,0,0,0,VBD
448,DESC,What,ROOT,0,0,0,0,0,NNS
451,DESC,What,ROOT,0,0,0,0,0,VBZ
452,DESC,What,ROOT,0,1,0,1,0,VBD
455,DESC,How,aux,0,0,0,0,0,VB
456,DESC,What,ROOT,0,1,0,0,0,VBZ
458,DESC,What,auxpass,0,0,0,0,0,VBN
459,DESC,How,aux,0,0,0,0,0,NN
461,DESC,How,aux,0,0,0,0,0,VB
462,DESC,How,aux,0,0,0,0,0,VB
465,DESC,What,ROOT,0,0,0,0,0,VBZ
471,DESC,What,aux,0,0,0,0,0,VB
473,DESC,How,aux,1,0,0,0,0,VB
474,DESC,What,ROOT,0,0,0,0,0,VBZ
476,DESC,What,ROOT,0,0,0,0,0,VBP
477,DESC,What,ROOT,0,0,0,0,0,VBZ
480,DESC,How,aux,0,0,0,0,0,VB
483,DESC,What,ROOT,0,1,0,0,0,VBZ
485,DESC,What,ROOT,0,0,0,0,1,VBZ
487,DESC,What,ROOT,1,0,0,0,0,VBZ
488,DESC,How,aux,0,0,0,0,0,VB
489,DESC,Why,aux,0,0,0,0,1,VBP
490,DESC,How,aux,0,0,0,1,0,VB
491,DESC,What,ROOT,0,0,0,0,0,VBZ
492,DESC,What,auxpass,0,0,0,0,0,VBN
493,DESC,How,aux,0,0,0,0,0,VB
495,DESC,What,ROOT,0,0,0,0,0,VBZ
497,DESC,Why,aux,0,0,0,0,0,VB
503,DESC,How,aux,0,0,0,0,0,VB
504,DESC,What,ROOT,0,0,0,0,0,VBZ
505,DESC,How,aux,0,0,0,0,0,VB
510,DESC,How,aux,0,0,0,1,0,VB
511,DESC,What,ROOT,0,0,0,0,0,VBZ
512,DESC,How,ROOT,1,0,0,0,0,VBD
513,DESC,Why,aux,0,0,0,0,0,NN
515,DESC,What,aux,1,0,0,0,0,VBP
516,DESC,How,aux,0,1,0,0,0,VB
523,DESC,What,ROOT,0,0,0,0,0,VBZ
525,DESC,What,ROOT,0,0,0,0,0,VBP
526,DESC,What,ROOT,0,0,0,0,0,VBZ
530,DESC,What,ROOT,0,0,0,0,0,VBZ
531,DESC,Why,auxpass,0,0,0,0,0,VBN
535,DESC,What,np,0,1,0,0,0,VBD
536,DESC,How,aux,1,0,1,0,0,VB
537,DESC,What,ROOT,0,1,0,0,0,VBZ
538,DESC,What,ROOT,0,0,0,0,0,VBZ
540,DESC,Why,ROOT,0,0,0,0,0,VBP
541,DESC,What,ROOT,0,0,1,0,0,VBZ
542,DESC,How,aux,0,0,0,0,0,VB
544,DESC,How,aux,0,0,0,0,0,VB
545,DESC,What,ROOT,1,0,0,0,0,VBZ
547,DESC,What,aux,1,0,0,0,0,NN
549,DESC,How,aux,0,0,0,0,0,VB
550,DESC,Why,ROOT,0,1,0,1,0,VBP
551,DESC,How,aux,0,0,0,0,0,VB
554,DESC,How,aux,0,1,0,0,0,VB
557,DESC,How,aux,0,0,0,0,0,NN
561,DESC,How,aux,0,1,1,0,0,VB
562,DESC,What,aux,0,0,0,0,0,VB
564,DESC,How,aux,0,0,0,1,0,VB
565,DESC,What,ROOT,0,0,0,0,0,VBZ
571,DESC,What,ROOT,0,0,0,0,0,VBZ
575,DESC,What,ROOT,0,0,0,0,0,VBZ
577,DESC,How,aux,1,0,0,0,0,VB
578,DESC,What,ROOT,0,0,0,0,0,VBZ
579,DESC,What,ROOT,0,0,0,0,0,VBZ
581,DESC,Why,ROOT,1,0,0,0,0,VBZ
582,DESC,What,ROOT,0,0,0,0,0,VBZ
583,DESC,What,ROOT,0,0,0,0,0,VBZ
584,DESC,What,ROOT,0,0,0,1,0,VBZ
585,DESC,What,ROOT,0,0,0,0,0,VBZ
589,DESC,What,ROOT,1,0,1,0,0,VBG
593,DESC,What,ROOT,0,0,0,0,0,VBZ
598,DESC,What,ROOT,1,0,0,0,0,VBZ
599,DESC,What,ROOT,0,0,0,0,0,VBZ
601,DESC,What,ROOT,0,0,0,0,0,VBZ
603,DESC,What,ROOT,0,0,0,1,0,VBZ
608,DESC,What,ROOT,0,0,0,0,0,VBZ
609,DESC,What,ROOT,0,0,0,0,0,VBZ
612,DESC,What,ROOT,0,0,0,0,0,VBZ
616,DESC,How,aux,0,0,0,0,0,VB
617,DESC,Why,aux,0,0,0,0,0,VBP
618,DESC,What,ROOT,1,0,0,0,0,VBZ
620,DESC,What,advmod,0,0,0,0,0,VBD
621,DESC,What,auxpass,0,0,0,0,0,VBN
622,DESC,How,aux,0,1,0,1,0,NN
624,DESC,How,auxpass,1,0,0,0,0,VBD
625,DESC,How,aux,0,0,0,0,0,NN
627,DESC,How,aux,0,0,0,0,0,VB
630,DESC,What,ROOT,1,0,0,0,0,VBZ
631,DESC,What,aux,0,0,0,0,0,VB
632,DESC,How,aux,0,0,0,0,0,VB
633,DESC,How,aux,0,0,0,0,0,VB
635,DESC,How,aux,0,0,0,0,0,VB
636,DESC,What,ROOT,1,0,0,0,1,VBZ
639,DESC,What,np,1,0,1,0,0,VBZ
641,DESC,What,ROOT,0,0,0,0,0,VBZ
642,DESC,What,ROOT,0,0,0,0,0,VBZ
644,DESC,What,ROOT,0,0,0,0,0,VBZ
650,DESC,What,ROOT,0,0,0,0,0,VBP
651,DESC,How,ROOT,0,0,0,0,0,VBZ
652,DESC,What,ROOT,0,0,0,0,0,VBZ
654,DESC,How,auxpass,0,0,0,0,0,VBN
655,DESC,What,aux,0,0,0,0,0,VB
656,DESC,What,ROOT,1,0,0,0,0,VBD
658,DESC,How,aux,0,1,0,0,0,VB
660,DESC,What,ROOT,0,0,0,1,0,VBP
665,DESC,How,aux,0,0,0,0,0,VBP
666,DESC,How,ROOT,0,0,0,0,0,VBZ
669,DESC,Why,aux,0,1,0,0,0,VB
670,DESC,What,auxpass,0,0,0,0,0,VBN
675,DESC,What,ROOT,0,0,0,0,0,VBZ
677,DESC,What,ROOT,0,0,0,0,0,VBZ
678,DESC,How,aux,0,0,0,0,0,VB
679,DESC,What,ROOT,0,0,0,0,0,VBZ
680,DESC,How,auxpass,0,1,0,0,0,VBN
682,DESC,How,ROOT,1,1,0,0,0,VBZ
684,DESC,How,aux,1,0,0,0,0,VB
687,DESC,What,ROOT,0,0,0,1,0,VBZ
688,DESC,What,ROOT,0,1,0,0,0,VBZ
690,DESC,How,auxpass,0,0,0,0,0,VBN
691,DESC,What,ROOT,1,0,0,0,0,VBZ
693,DESC,What,ROOT,1,0,0,0,0,VBD
694,DESC,What,aux,0,0,0,0,0,VBN
698,DESC,How,ROOT,0,0,0,0,0,VBZ
699,DESC,What,np,0,0,0,0,0,VB
700,DESC,What,aux,0,0,0,0,0,VBG
701,DESC,Where,aux,0,0,0,0,1,VBN
703,DESC,Why,amod,1,0,0,0,1,VBD
705,DESC,What,ROOT,0,0,0,0,0,VBZ
706,DESC,How,aux,0,0,0,0,0,VB
707,DESC,What,aux,0,0,0,0,1,VB
708,DESC,What,aux,1,0,1,0,0,VB
710,DESC,What,ROOT,0,0,0,0,0,VBZ
711,DESC,What,ROOT,0,0,0,0,0,VBZ
712,DESC,What,ROOT,0,0,0,0,0,VBZ
714,DESC,What,ROOT,0,0,0,0,0,VBZ
716,DESC,How,aux,0,1,1,0,0,VBP
721,DESC,What,aux,0,0,0,0,0,VB
723,DESC,What,ROOT,1,0,0,0,0,VBD
727,DESC,How,aux,0,0,0,0,1,VBN
728,DESC,How,aux,0,0,0,0,0,VB
729,DESC,What,ROOT,0,1,0,0,0,VBZ
730,DESC,What,ROOT,0,0,0,0,0,VBZ
731,DESC,What,aux,0,0,0,1,0,VB
732,DESC,What,np,0,0,0,0,0,VBN
734,DESC,Where,aux,0,0,0,0,0,VBN
737,DESC,What,ROOT,0,0,0,0,0,VBZ
740,DESC,What,ROOT,0,0,0,0,0,VBZ
741,DESC,What,ROOT,0,0,0,0,0,VBZ
742,DESC,How,aux,0,0,0,0,0,JJ
743,DESC,How,aux,0,0,0,0,0,VB
749,DESC,What,ROOT,0,0,0,0,0,VBZ
750,DESC,How,aux,0,0,0,0,0,VB
751,DESC,Why,ROOT,0,0,0,0,0,VBZ
755,DESC,What,ROOT,0,0,0,0,0,VBZ
759,DESC,How,aux,0,0,0,0,0,VB
760,DESC,What,ROOT,0,0,0,0,0,VBZ
762,DESC,What,ROOT,0,1,0,0,0,VBZ
763,DESC,How,aux,0,0,0,0,0,VB
767,DESC,What,aux,0,0,0,0,0,VBN
768,DESC,What,ROOT,1,0,0,0,0,VBZ
773,DESC,What,ROOT,0,0,0,0,0,VBZ
775,DESC,What,ROOT,0,0,0,0,0,VBP
776,DESC,How,ROOT,0,0,0,0,0,VBZ
777,DESC,How,aux,0,0,0,0,0,VBP
781,DESC,What,ROOT,0,0,0,0,0,VBZ
782,DESC,What,ROOT,0,0,0,0,0,VBZ
784,DESC,What,ROOT,0,0,0,0,0,VBZ
788,DESC,What,ROOT,0,0,0,0,0,VBZ
790,DESC,Why,aux,0,1,0,0,0,VB
792,DESC,What,ROOT,0,0,0,0,0,VBZ
793,DESC,What,ROOT,0,1,0,0,0,VBP
795,DESC,What,ROOT,0,1,0,0,0,VBD
797,DESC,What,np,0,0,0,0,0,VBZ
798,DESC,What,np,1,0,0,0,0,VB
799,DESC,What,ROOT,0,0,0,0,0,VBZ
803,DESC,How,np,1,1,0,0,0,VB
806,DESC,What,ROOT,0,0,0,0,0,VBZ
807,DESC,What,ROOT,0,0,0,0,0,VBZ
813,DESC,How,aux,1,0,0,0,0,VB
814,DESC,What,ROOT,0,1,0,0,0,VBZ
815,DESC,How,aux,0,0,0,0,0,JJ
818,DESC,Why,aux,0,0,0,0,0,VB
820,DESC,What,aux,0,0,0,0,0,NN
821,DESC,What,ROOT,0,0,0,0,0,VBZ
822,DESC,How,aux,0,0,0,0,0,VB
823,DESC,How,aux,0,1,0,0,0,VB
824,DESC,What,aux,0,0,0,0,0,VB
825,DESC,What,np,0,0,0,0,0,VBZ
830,DESC,What,ROOT,0,0,0,1,0,VBZ
831,DESC,What,ROOT,1,0,0,0,0,VBD
838,DESC,What,ROOT,0,0,0,0,0,VBZ
840,DESC,Why,aux,0,0,0,0,0,VB
843,DESC,What,ROOT,0,0,0,0,0,VBZ
845,DESC,How,aux,0,0,0,0,0,VB
848,DESC,What,ROOT,0,0,0,0,0,VBZ
850,DESC,What,ROOT,1,0,0,0,0,VBZ
851,DESC,Why,aux,0,0,0,0,0,VB
853,DESC,How,aux,1,0,0,0,0,VB
854,DESC,What,ROOT,0,0,0,0,0,VBZ
856,DESC,What,ROOT,0,0,0,0,0,VBZ
858,DESC,What,ROOT,0,0,0,0,0,VBZ
860,DESC,What,ROOT,0,0,0,0,0,VBZ
862,DESC,What,np,0,1,0,0,0,NN
863,DESC,How,aux,0,0,0,0,1,VB
864,DESC,What,ROOT,0,0,0,0,0,VBZ
865,DESC,What,ROOT,0,0,0,0,0,VBP
866,DESC,How,aux,0,0,0,0,0,VB
870,DESC,What,aux,0,1,0,0,0,NN
871,DESC,What,ROOT,0,0,0,0,0,VBZ
872,DESC,How,np,0,0,0,0,0,VB
873,DESC,How,ROOT,0,0,0,0,0,VB
874,DESC,What,ROOT,1,0,0,0,0,VBD
876,DESC,What,ROOT,0,0,0,0,0,VBP
877,DESC,What,ROOT,0,0,0,0,0,VBZ
879,DESC,What,ROOT,0,0,0,0,0,VBZ
880,DESC,How,aux,0,0,0,0,0,VB
881,DESC,Why,ROOT,0,1,1,0,0,VBZ
882,DESC,What,ROOT,0,1,0,0,0,VBZ
885,DESC,What,ROOT,0,0,0,0,0,VBZ
886,DESC,Where,aux,0,0,0,0,1,VBN
887,DESC,What,ROOT,0,0,0,0,0,VBZ
888,DESC,Why,ROOT,0,0,0,0,0,VBD
889,DESC,What,ROOT,0,0,0,0,0,VBZ
890,DESC,What,np,0,0,0,0,0,VB
891,DESC,Why,aux,1,1,0,0,0,VBP
892,DESC,What,ROOT,0,0,0,0,0,VBP
893,DESC,What,ROOT,0,0,0,0,0,VBZ
894,DESC,What,aux,0,0,0,0,0,VBG
895,DESC,Why,ROOT,0,0,0,0,0,VBP
898,DESC,What,ROOT,0,0,0,0,0,VBZ
900,DESC,How,aux,0,0,0,0,1,VB
903,DESC,Why,aux,1,0,0,0,0,JJ
908,DESC,How,aux,1,1,0,0,0,VBP
912,DESC,What,ROOT,0,0,0,0,0,VBZ
913,DESC,What,ROOT,0,0,0,0,0,VBP
914,DESC,How,aux,0,0,0,0,0,VB
915,DESC,How,aux,1,0,1,0,0,NN
917,DESC,Why,aux,0,0,0,0,0,VB
918,DESC,How,aux,0,0,0,0,0,VB
919,DESC,What,aux,1,0,0,0,0,VBP
922,DESC,How,aux,0,0,0,0,0,VB
923,DESC,How,ROOT,1,0,0,0,0,VBZ
925,DESC,What,ROOT,0,1,0,0,0,VBD
926,DESC,What,ROOT,1,0,0,0,0,VBZ
927,DESC,How,aux,0,0,0,0,0,VB
930,DESC,What,ROOT,0,0,0,0,0,VBZ
931,DESC,What,ROOT,0,0,0,0,0,VBZ
933,DESC,What,ROOT,0,0,0,0,0,VBZ
934,DESC,How,ROOT,0,0,0,0,0,VBZ
942,DESC,Why,ROOT,0,0,0,0,1,VBZ
945,DESC,What,ROOT,0,1,0,0,0,VBZ
946,DESC,What,ROOT,0,0,0,0,1,VBZ
949,DESC,What,ROOT,0,0,0,0,0,VBZ
958,DESC,How,aux,0,0,0,0,0,VB
959,DESC,What,ROOT,0,1,0,0,0,VBZ
960,DESC,What,ROOT,0,0,0,0,0,VBZ
963,DESC,What,aux,0,0,1,0,0,VBP
967,DESC,How,aux,1,0,0,0,0,VB
974,DESC,How,aux,0,0,0,0,0,VB
975,DESC,What,ROOT,0,0,0,0,0,VBZ
978,DESC,What,ROOT,0,0,0,0,0,VBZ
979,DESC,What,ROOT,0,0,0,0,0,VBZ
983,DESC,How,ROOT,1,0,0,0,0,VBD
984,DESC,How,aux,0,0,0,0,0,VB
986,DESC,Where,aux,0,0,0,0,0,VBP
987,DESC,Why,ROOT,1,0,0,1,0,VBZ
988,DESC,What,ROOT,0,1,0,0,0,VBZ
989,DESC,What,np,0,0,0,0,0,VB
990,DESC,What,ROOT,0,1,0,0,0,VBP
992,DESC,What,ROOT,0,0,0,0,0,VBZ
994,DESC,What,ROOT,1,0,0,0,0,VBZ
995,DESC,What,ROOT,0,0,0,0,0,VBZ
996,DESC,How,aux,0,0,0,0,0,VB
998,DESC,What,ROOT,0,0,0,0,0,VBZ
1002,DESC,How,ROOT,0,0,0,0,0,VBZ
1003,DESC,What,ROOT,0,0,0,0,0,VBZ
1004,DESC,What,aux,1,0,0,0,0,VB
1006,DESC,What,np,0,1,0,0,0,VBP
1007,DESC,How,aux,0,0,0,0,0,VB
1008,DESC,How,aux,0,1,0,0,0,VB
1010,DESC,What,ROOT,0,0,0,0,0,VBZ
1014,DESC,What,aux,0,1,0,0,0,VB
1016,DESC,What,ROOT,0,1,0,0,0,VBZ
1017,DESC,What,nc,0,0,0,0,0,NNS
1018,DESC,How,aux,0,0,0,0,0,VB
1019,DESC,How,aux,0,0,0,0,0,VB
1024,DESC,Why,ROOT,0,0,0,0,0,VBP
1025,DESC,What,ROOT,0,0,0,0,0,VBZ
1026,DESC,What,ROOT,0,0,0,0,0,VBZ
1027,DESC,How,aux,0,0,0,0,0,VB
1028,DESC,What,aux,0,0,0,0,0,VBP
1029,DESC,What,ROOT,0,0,0,0,0,VBZ
1030,DESC,What,ROOT,0,0,0,0,0,VBZ
1031,DESC,What,ROOT,0,0,0,0,0,VBZ
1032,DESC,How,aux,0,0,0,0,0,VB
1033,DESC,What,ROOT,1,0,0,0,0,VBZ
1035,DESC,What,ROOT,0,0,0,0,0,VBZ
1037,DESC,What,np,0,0,0,0,0,VBP
1038,DESC,How,aux,0,0,0,0,0,VB
1039,DESC,What,ROOT,0,1,0,0,0,VBZ
